"repo","level","compatLabel","minTrain","coversCurrent","manifestType","pkgName","engines","evidence"
"openma-ai/open-managed-agents","D","not-a-plugin","","false","none","open-managed-agents","{""node"":""24.x""}","catalog isDshPlugin=false, no manifest/deps"
"try-works/role-model","D","not-a-plugin","","false","none","role-model","{""node"":"">=24 <25""}","catalog isDshPlugin=false, no manifest/deps"
"irmia2026/irmia_devkit_open","D","not-a-plugin","","false","none","","","catalog isDshPlugin=false, no manifest/deps"
"834063245-creator/HoloGram","C","unknown","","false","none","","","no manifest/deps at root; kind=plugin?; signals=readme-mentions-dsh"
"omdsh-dev/dsh-custom-tool","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","false","cordis.patch.yml","dsh-custom-tool","{""node"":""^22.19 || >=24""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1-rc.1, @deepseek-ai/dsh-llm@link:../dsh/packages/llm/llm, @deepseek-ai/dsh-settings@^0.0.1-rc.1, @deepseek-ai/dsh-tools@^0.0.1-rc.1, @deepseek-ai/dsh-system-prompt@^0.0.1-rc.1, @deepseek-ai/dsh-client-runtime@^0.0.1-rc.1, @deepseek-ai/dsh-client-ui-settings@^0.0.1-rc.1, @deepseek-ai/dsh-client-ui-slots@^0.0.1-rc.1, @deepseek-ai/dsh-client-locale@^0.0.1-rc.1, @deepseek-ai/dsh-client-ui-theme@link:../dsh/packages/client/ui-theme, @deepseek-ai/schemastery@link:../dsh/vendor/schemastery"
"bobleer/dsh-acp-for-bitfun","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","dsh-acp-for-bitfun","","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/dsh-subagent-acp@^0.1.0-rc.6, @deepseek-ai/dsh-tool-subagent@^0.1.0-rc.6, @deepseek-ai/schemastery@^3.18.1, @deepseek-ai/cordis@^4.0.1"
"omdsh-dev/fabric","B","runtime-injected","","false","cordis.patch.yml","@oh-my-dsh/stent-pack","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"LoserFox/dsh-git-identity","B","runtime-injected","","false","cordis.patch.yml","@loserfox/git-identity","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"gfhdhytghd/Hypr-Agent-Protal","D","not-a-plugin","","false","none","","","catalog isDshPlugin=false, no manifest/deps"
"LoserFox/telegram","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@loserfox/telegram","","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/dsh-agent@^0.1.0-rc.6, @deepseek-ai/dsh-llm@^0.0.1-rc.1, @deepseek-ai/dsh-session@^0.0.1-rc.1, @deepseek-ai/cordis@^4.0.1, @deepseek-ai/schemastery@^3.18.1"
"scotthuang/agent-knock-knock","D","not-a-plugin","","false","none","@scotthuang/agent-knock-knock","{""node"":"">=22.19.0""}","catalog isDshPlugin=false, no manifest/deps"
"lhh010/dsh-bash-encoding","B","declared-deps","","false","none","@dsh-external/dsh-bash-encoding","","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/dsh-shell@>=0.0.1-rc.2, @deepseek-ai/cordis@^4.0.1-rc.1, @deepseek-ai/schemastery@^3.18.1-rc.1, @deepseek-ai/dsh-sandbox@link:../.dsh/source/current/packages/sandbox/sandbox"
"omdsh-dev/dsh-data-agent","A","0.1.0-rc.7+","0.1.0-rc.7","true","cordis.patch.yml","@yejiming/dsh-data-agent","","cordis.patch.yml; ranges cover current (min=0.1.0-rc.7): @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-agent@^0.1.0-rc.7, @deepseek-ai/dsh-agent-presets@^0.1.0-rc.7, @deepseek-ai/dsh-attachment@0.1.0-rc.7, @deepseek-ai/dsh-client-locale@^0.1.0-rc.7, @deepseek-ai/dsh-client-runtime@^0.1.0-rc.7, @deepseek-ai/dsh-client-ui-conversation@^0.1.0-rc.7, @deepseek-ai/dsh-client-ui-primitives@^0.1.0-rc.7, @deepseek-ai/dsh-client-ui-settings@0.1.0-rc.7, @deepseek-ai/dsh-client-ui-slots@^0.1.0-rc.7, @deepseek-ai/dsh-client-ui-tool@^0.1.0-rc.7, @deepseek-ai/dsh-commands@^0.1.0-rc.7, @deepseek-ai/dsh-credentials@^0.1.0-rc.7, @deepseek-ai/dsh-host-webserver@^0.1.0-rc.7, @deepseek-ai/dsh-invariants@^0.1.0-rc.7, @deepseek-ai/dsh-llm@^0.1.0-rc.7, @deepseek-ai/dsh-scope@^0.1.0-rc.7, @deepseek-ai/dsh-session@^0.1.0-rc.7, @deepseek-ai/dsh-storage@^0.1.0-rc.7, @deepseek-ai/dsh-storage-domain@^0.1.0-rc.7, @deepseek-ai/dsh-storage-json@^0.1.0-rc.7, @deepseek-ai/dsh-subprocess@^0.1.0-rc.7, @deepseek-ai/dsh-subprocess-local@0.1.0-rc.7, @deepseek-ai/dsh-tools@^0.1.0-rc.7, @deepseek-ai/dsh-typert-protocol@0.1.0-rc.7, @deepseek-ai/dsh-user-questions@^0.1.0-rc.7, @deepseek-ai/schemastery@3.18.1"
"coppynight/dsh-doctor","C","unknown","","false","none","","","no manifest/deps at root; kind=docs; signals=readme-mentions-dsh"
"Chinesezjc/dsh-interconnect","B","declared","","true","cordis.patch.yml","dsh-interconnect","","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@*, @deepseek-ai/schemastery@*, @deepseek-ai/dsh-agent@*, @deepseek-ai/dsh-api-remotes@*, @deepseek-ai/dsh-credentials@*, @deepseek-ai/dsh-llm@*, @deepseek-ai/dsh-session@*, @deepseek-ai/dsh-subagent@*, @deepseek-ai/dsh-host-apiproxy@*, @deepseek-ai/dsh-host-webserver@*, @deepseek-ai/dsh-tools@*, @deepseek-ai/dsh-skill@*, @deepseek-ai/dsh-invariants@*, @deepseek-ai/dsh-system-prompt@link:../dsh/packages/core/system-prompt"
"whiteguo233/dsh-openbiliclaw","B","0.1.1-rc.2+(pkg-name)","0.1.1-rc.2","true","package.json","@openbiliclaw/dsh-plugin","","plugin-named package.json, signals=@deepseek-ai/dsh-client-runtime,@deepseek-ai/dsh-client-ui-layout,@deepseek-ai/dsh-client-ui-slots,@deepseek-ai/dsh-tools,@deepseek-ai/cordis,@deepseek-ai/schemastery"
"omdsh-dev/dsh-plugin-check","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@omdsh-dev/dsh-plugin-check","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-security-audit","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-security-audit","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-tool-csv","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-tool-csv","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-toolkit","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-toolkit","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"AtomicsLaboratory/atomstudio","D","not-a-plugin","","false","none","","","catalog isDshPlugin=false, no manifest/deps"
"whiteguo233/dsh-cc-connect","B","declared-deps","","false","none","@dsh-external/cc-connect","","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/dsh-tools@^0.0.1"
"omdsh-dev/dsh-mnemon","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","dsh-mnemon","{""node"":"">=20""}","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh@0.1.1-rc.2, @deepseek-ai/dsh-client-connection@0.1.1-rc.2, @deepseek-ai/dsh-client-locale@0.1.1-rc.2, @deepseek-ai/dsh-client-runtime@0.1.1-rc.2, @deepseek-ai/dsh-client-ui-conversation@0.1.1-rc.2, @deepseek-ai/dsh-client-ui-primitives@^0.1.0-rc.6 || ^0.1.1-rc.1, @deepseek-ai/dsh-client-ui-settings@0.1.1-rc.2, @deepseek-ai/dsh-client-ui-slots@0.1.1-rc.2, @deepseek-ai/dsh-client-ui-tool@0.1.1-rc.2, @deepseek-ai/dsh-system-prompt@0.1.1-rc.2"
"renat3u/dsh-paseo","C","unknown","","false","none","dsh-paseo","{""node"":"">=22.19""}","no manifest/deps at root; kind=plugin?; signals=readme-mentions-dsh"
"omdsh-dev/dsh-plugin-dev","C","unknown","","false","none","","","no manifest/deps at root; kind=plugin?; signals=readme-mentions-dsh"
"omdsh-dev/dsh-tool-calculator","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-tool-calculator","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-tool-diff","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-tool-diff","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-tool-encoding","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-tool-encoding","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-tool-json","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-tool-json","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-tool-markdown","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-tool-markdown","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-tool-regex","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-tool-regex","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-tool-schema","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-tool-schema","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-tool-stat","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-tool-stat","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-tool-time","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-tool-time","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"vibeinging/dsh-trace","B","0.0.1-rc.2+(inferred)","0.0.1-rc.2","false","cordis.patch.yml","@deepseek-ai/dsh-trace","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/schemastery@3.18.1-rc.1, @deepseek-ai/cordis@4.0.1-rc.1, @deepseek-ai/cordis-plugin-include@1.0.5-rc.1, @deepseek-ai/cordis-plugin-loader@1.0.1-rc.1, @deepseek-ai/dsh-invariants@0.0.1-rc.2, @deepseek-ai/dsh-llm@0.0.1-rc.2, @deepseek-ai/dsh-session@0.0.1-rc.2, @deepseek-ai/dsh-session-telemetry@0.0.1-rc.2"
"omdsh-dev/sandbox-micro","B","declared","","false","cordis.patch.yml","@deepseek-ai/dsh-sandbox-microsandbox","","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/dsh-invariants@^0.0.1, @deepseek-ai/dsh-llm@^0.0.1, @deepseek-ai/dsh-timeout@^0.0.1, @deepseek-ai/dsh-tools@^0.0.1"
"Fisfzy/zotero-harvest","B","declared-deps","","false","none","@dsh-external/zotero-harvest","{""dsh"":"">=0.0.1""}","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/dsh-tools@^0.0.1"
"fakechris/dsh-harness-ops","C","unknown","","false","none","","","no manifest/deps at root; kind=plugin?; signals=readme-mentions-dsh"
"omdsh-dev/dsh-inspect","B","declared","","false","cordis.patch.yml","@dsh-external/dsh-inspect","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/dsh-agent@^0.0.1, @deepseek-ai/dsh-tools@^0.0.1, @deepseek-ai/dsh-workflow@^0.0.1"
"THU-MAIC/dsh-openmaic","B","declared","","true","cordis.patch.yml","@openmaic/dsh-openmaic","{""dsh"":"">=0.0.1""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1-rc.1, @deepseek-ai/dsh-llm@*, @deepseek-ai/dsh-session@*, @deepseek-ai/dsh-skill@*, @deepseek-ai/dsh-system-prompt@*, @deepseek-ai/dsh-tools@*, @deepseek-ai/schemastery@^3.18.1-rc.1"
"HuanLinOTO/dsh-plugin-mineru","B","0.0.1-rc.1(build-era)","0.0.1-rc.1","false","cordis.patch.yml","@huanlin/dsh-plugin-mineru","{""node"":"">=18.0.0""}","peer/dev only pin older versions: @deepseek-ai/dsh-client-connection@^0.0.1-rc.1, @deepseek-ai/dsh-client-locale@^0.0.1-rc.1, @deepseek-ai/dsh-client-runtime@^0.0.1-rc.1, @deepseek-ai/dsh-client-ui-primitives@^0.0.1-rc.1, @deepseek-ai/dsh-client-ui-settings@^0.0.1-rc.1, @deepseek-ai/dsh-client-ui-slots@^0.0.1-rc.1, @deepseek-ai/dsh-host-apiproxy@^0.0.1-rc.1, @deepseek-ai/dsh-tools@^0.0.1-rc.1"
"Moeblack/dsh-prompt-studio","B","runtime-injected","","false","cordis.patch.yml","dsh-prompt-studio","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"lzszq/dsh-scholar","A","0.1.1-rc.2+","0.1.1-rc.2","true","cordis.patch.yml","@dsh-scholar/research-plugin","","cordis.patch.yml; ranges cover current (min=0.1.1-rc.2): @deepseek-ai/cordis@>=4.0.0-rc.7 <4.0.1 || >=4.0.1-rc.1 <5, @deepseek-ai/dsh-client-connection@^0.1.1-rc.2, @deepseek-ai/dsh-client-locale@^0.1.1-rc.2, @deepseek-ai/dsh-client-runtime@^0.1.1-rc.2, @deepseek-ai/dsh-client-ui-conversation@^0.1.1-rc.2, @deepseek-ai/dsh-client-ui-settings@^0.1.1-rc.2, @deepseek-ai/dsh-client-ui-settings-plugins@^0.1.1-rc.2, @deepseek-ai/dsh-client-ui-slots@^0.1.1-rc.2, @deepseek-ai/dsh-commands@^0.1.1-rc.2, @deepseek-ai/dsh-attachment@^0.1.1-rc.2, @deepseek-ai/dsh-llm@^0.1.1-rc.2, @deepseek-ai/dsh-settings@^0.1.1-rc.2, @deepseek-ai/dsh-skill-filesystem@^0.1.1-rc.2, @deepseek-ai/dsh-tools@^0.1.1-rc.2, @deepseek-ai/dsh-user-questions@^0.1.1-rc.2, @deepseek-ai/schemastery@>=3.18.0 <3.18.1 || >=3.18.1-rc.1 <4"
"UynajGI/dsh-ssh","B","0.1.0-rc.6+(declared-deps)","0.1.0-rc.6","true","none","dsh-ssh","{""node"":"">=22.0.0""}","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-fs@^0.1.0-rc.6, @deepseek-ai/dsh-host-directory-picker@^0.1.0-rc.6, @deepseek-ai/dsh-host-directory-picker-native@^0.1.0-rc.6, @deepseek-ai/dsh-invariants@^0.1.0-rc.6, @deepseek-ai/dsh-subprocess@^0.1.0-rc.6, @deepseek-ai/dsh-timeout@^0.1.0-rc.6, @deepseek-ai/schemastery@^3.18.1"
"vibeinging/dsh-tool-search","B","0.0.1-rc.2+(inferred)","0.0.1-rc.2","false","cordis.patch.yml","@deepseek-ai/dsh-tool-search","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/schemastery@3.18.1-rc.1, @deepseek-ai/cordis@4.0.1-rc.1, @deepseek-ai/dsh-agent@0.0.1-rc.2, @deepseek-ai/dsh-agent-loop@0.0.1-rc.2, @deepseek-ai/dsh-agent-loop-testkit@0.0.1-rc.2, @deepseek-ai/dsh-invariants@0.0.1-rc.2, @deepseek-ai/dsh-llm@0.0.1-rc.2, @deepseek-ai/dsh-session@0.0.1-rc.2, @deepseek-ai/dsh-token-meter@0.0.1-rc.2, @deepseek-ai/dsh-tools@0.0.1-rc.2"
"bill9109/dsh-webbridge","B","runtime-injected","","false","cordis.patch.yml","dsh-webbridge","{""node"":""^20.0.0 || >=22.0.0""}","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"Fisfzy/ego-browser","B","0.1.0-rc.8+(declared-deps)","0.1.0-rc.8","false","none","@dsh-external/ego-browser","{""node"":"">=22""}","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/schemastery@link:../dsh/vendor/schemastery, @deepseek-ai/dsh-client-locale@0.1.0-rc.8, @deepseek-ai/dsh-client-runtime@0.1.0-rc.8, @deepseek-ai/dsh-client-ui-settings-plugins@0.1.0-rc.8, @deepseek-ai/dsh-client-ui-slots@0.1.0-rc.8, @deepseek-ai/dsh-settings@0.1.0-rc.8, @deepseek-ai/dsh-tools@0.1.0-rc.8"
"Fisfzy/math-lean","C","unknown","","false","none","dsh-lean-prover","","no manifest/deps at root; kind=plugin?; signals=readme-mentions-dsh"
"omdsh-dev/plugin-template","B","runtime-injected","","false","cordis.patch.yml","@your-scope/dsh-plugin-template","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"omdsh-dev/Qwen-MM-Plugins","C","subdir-only","","false","cordis.patch.yml","","","catalog reports cordis.patch.yml but not at repo root (monorepo/subdir) — needs deep check"
"omdsh-dev/sandbox-mxc","A","0.1.1-rc.2+","0.1.1-rc.2","true","cordis.patch.yml","@deepseek-ai/dsh-sandbox-mxc","","cordis.patch.yml; ranges cover current (min=0.1.1-rc.2): @deepseek-ai/schemastery@^3.18.1, @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-attachment@^0.1.1-rc.2, @deepseek-ai/dsh-brand@^0.1.1-rc.2, @deepseek-ai/dsh-invariants@^0.1.1-rc.2, @deepseek-ai/dsh-llm@^0.1.1-rc.2, @deepseek-ai/dsh-sandbox@^0.1.1-rc.2, @deepseek-ai/dsh-scope@^0.1.1-rc.2, @deepseek-ai/dsh-session@^0.1.1-rc.2, @deepseek-ai/dsh-subprocess@^0.1.1-rc.2, @deepseek-ai/dsh-timeout@^0.1.1-rc.2, @deepseek-ai/dsh-typert-protocol@^0.1.1-rc.2"
"omdsh-dev/sandbox-nono","B","declared","","false","cordis.patch.yml","@deepseek-ai/dsh-sandbox-nono","","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/dsh-invariants@^0.0.1, @deepseek-ai/dsh-sandbox@^0.0.1"
"omdsh-dev/web-components","B","declared","","false","cordis.patch.yml","@deepseek-ai/dsh-client-web-component","","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/dsh-client-locale@^0.0.1, @deepseek-ai/dsh-client-runtime@^0.0.1, @deepseek-ai/dsh-client-ui-slots@^0.0.1, @deepseek-ai/dsh-invariants@^0.0.1"
"Fisfzy/zotero-wave-rag","B","declared-deps","","false","none","@dsh-external/zotero-wave-rag","{""dsh"":"">=0.0.1""}","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/dsh-tools@^0.0.1"
"zhu1090093659/dsh-web-ui","C","unknown","","false","none","dsh-web","","no manifest/deps at root; kind=plugin?; signals=readme-mentions-dsh"
"omdsh-dev/DSH-better-sidebar","A","0.1.0-rc.8+","0.1.0-rc.8","true","cordis.patch.yml","dsh-better-sidebar","{""node"":"">=20""}","cordis.patch.yml; ranges cover current (min=0.1.0-rc.8): @deepseek-ai/dsh-agent@^0.1.0-rc.8, @deepseek-ai/dsh-client-locale@^0.1.0-rc.8, @deepseek-ai/dsh-client-runtime@^0.1.0-rc.8, @deepseek-ai/dsh-client-ui-conversation@^0.1.0-rc.8, @deepseek-ai/dsh-client-ui-primitives@^0.1.0-rc.8, @deepseek-ai/dsh-client-ui-settings@^0.1.0-rc.8, @deepseek-ai/dsh-client-ui-slots@^0.1.0-rc.8, @deepseek-ai/dsh-host-webserver@^0.1.0-rc.8, @deepseek-ai/dsh-invariants@^0.1.0-rc.8, @deepseek-ai/dsh-llm@^0.1.0-rc.8, @deepseek-ai/dsh-session@^0.1.0-rc.8, @deepseek-ai/dsh-settings@^0.1.0-rc.8, @deepseek-ai/dsh-subagent@^0.1.0-rc.8, @deepseek-ai/dsh-tools@^0.1.0-rc.8, @deepseek-ai/cordis@^4.0.1"
"alingalingling/ui-status-label","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","dsh-ui-status-label","","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/dsh-settings@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/schemastery@^3.18.1, @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-client-connection@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-client-locale@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-client-runtime@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-client-ui-conversation@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-client-ui-settings@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-client-ui-slots@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0"
"Small-tailqwq/dsh-deep-whale","C","unknown","","false","none","","","no manifest/deps at root; kind=plugin?; signals=readme-mentions-dsh"
"dingyi222666/dsh-focus-chat","A","0.1.0-rc.7+","0.1.0-rc.7","true","cordis.patch.yml","@dingyi222666/dsh-focus-chat","","cordis.patch.yml; ranges cover current (min=0.1.0-rc.7): @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-api-remotes@0.1.1-rc.2, @deepseek-ai/dsh-attachment@^0.1.1-rc.2, @deepseek-ai/dsh-client-connection@^0.1.1-rc.2, @deepseek-ai/dsh-client-locale@^0.1.1-rc.2, @deepseek-ai/dsh-client-runtime@^0.1.1-rc.2, @deepseek-ai/dsh-client-test-runtime@0.1.0-rc.7, @deepseek-ai/dsh-client-ui-attachment@^0.1.1-rc.2, @deepseek-ai/dsh-client-ui-conversation@^0.1.1-rc.2, @deepseek-ai/dsh-client-ui-primitives@^0.1.1-rc.2, @deepseek-ai/dsh-client-ui-renderer@^0.1.1-rc.2, @deepseek-ai/dsh-client-ui-slots@^0.1.1-rc.2, @deepseek-ai/dsh-client-web-react@^0.1.0-rc.7, @deepseek-ai/dsh-host-apiproxy@0.1.1-rc.2, @deepseek-ai/dsh-invariants@^0.1.1-rc.2, @deepseek-ai/dsh-llm@^0.1.1-rc.2, @deepseek-ai/dsh-message-feedback@0.1.1-rc.2"
"ccq1/dsh-side-panel","B","runtime-injected","","false","cordis.patch.yml","@dsh-external/dsh-side-panel","{""node"":""^22.19 || >=24""}","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"lhh010/dsh-ui-progress","B","declared-deps","","true","none","@dsh-external/dsh-ui-progress","","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/dsh-client-locale@link:../.dsh/source/current/packages/client/locale, @deepseek-ai/dsh-client-runtime@link:../.dsh/source/current/packages/client/runtime, @deepseek-ai/dsh-client-ui-conversation@link:../.dsh/source/current/packages/client/ui-conversation, @deepseek-ai/dsh-client-ui-primitives@*, @deepseek-ai/dsh-client-ui-slots@link:../.dsh/source/current/packages/client/ui-slots, @deepseek-ai/dsh-invariants@link:../.dsh/source/current/packages/runtime-diagnostics/invariants, @deepseek-ai/dsh-tool-todo@*, @deepseek-ai/cordis@^4.0.1-rc.1"
"lhh010/dsh-ui-whale","B","declared-deps","","false","none","@dsh-external/dsh-ui-whale","","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/dsh-client-locale@link:../.dsh/source/current/packages/client/locale, @deepseek-ai/dsh-client-runtime@link:../.dsh/source/current/packages/client/runtime, @deepseek-ai/dsh-client-test-runtime@link:../.dsh/source/current/packages/client/test-runtime, @deepseek-ai/dsh-client-ui-conversation@link:../.dsh/source/current/packages/client/ui-conversation, @deepseek-ai/dsh-client-ui-slots@link:../.dsh/source/current/packages/client/ui-slots, @deepseek-ai/dsh-invariants@link:../.dsh/source/current/packages/runtime-diagnostics/invariants, @deepseek-ai/cordis@^4.0.1-rc.1"
"omdsh-dev/dsh-annotation","B","runtime-injected","","false","cordis.patch.yml","@changfenhuang/dsh-annotation","{""node"":"">=20""}","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
