"repo","level","compatLabel","minTrain","coversCurrent","manifestType","pkgName","engines","evidence"
"xiaoshihou514/dsh-weixin","A","0.1.1-rc.2+","0.1.1-rc.2","true","cordis.patch.yml","dsh-weixin","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml; ranges cover current (min=0.1.1-rc.2): @deepseek-ai/schemastery@^3.18.1, @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-agent@^0.1.1-rc.2, @deepseek-ai/dsh-agent-default-model@^0.1.1-rc.2, @deepseek-ai/dsh-attachment@^0.1.1-rc.2, @deepseek-ai/dsh-host-webserver@^0.1.1-rc.2, @deepseek-ai/dsh-llm@^0.1.1-rc.2, @deepseek-ai/dsh-session@^0.1.1-rc.2, @deepseek-ai/dsh-settings@^0.1.1-rc.2"
"Han-1413141/dsh-cost-meter","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","dsh-cost-meter","","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/dsh-credentials@^0.1.0-rc.6, @deepseek-ai/dsh-home-paths@^0.1.0-rc.6"
"ben7am1n/dsh-lens-lite","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","dsh-lens-lite","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/schemastery@^3.18.1, @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-llm@^0.1.0-rc.6, @deepseek-ai/dsh-session@^0.1.0-rc.6, @deepseek-ai/dsh-subprocess@^0.1.0-rc.6, @deepseek-ai/dsh-subprocess-local@0.1.0-rc.6, @deepseek-ai/dsh-timeout@0.1.0-rc.6, @deepseek-ai/dsh-tools@^0.1.0-rc.6"
"imetn/dsh-lark-bridge","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","dsh-lark-bridge","{""node"":"">=22""}","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/cordis@^4.0.1, @deepseek-ai/cordis-plugin-loader@1.0.2, @deepseek-ai/dsh-agent@^0.1.0-rc.6, @deepseek-ai/dsh-agent-default-model@^0.1.0-rc.6, @deepseek-ai/dsh-attachment@^0.1.0-rc.6, @deepseek-ai/dsh-commands@^0.1.0-rc.6, @deepseek-ai/dsh-credentials@^0.1.0-rc.6, @deepseek-ai/dsh-llm@^0.1.0-rc.6, @deepseek-ai/dsh-session@^0.1.0-rc.6, @deepseek-ai/dsh-session-persistence@^0.1.0-rc.6, @deepseek-ai/dsh-system-prompt@^0.1.0-rc.6, @deepseek-ai/dsh-tool-ask-user@^0.1.0-rc.6, @deepseek-ai/dsh-tools@^0.1.0-rc.6, @deepseek-ai/dsh-user-approval@^0.1.0-rc.6, @deepseek-ai/dsh-user-questions@^0.1.0-rc.6, @deepseek-ai/schemastery@^3.18.1"
"zhouzhencheng07/dsh-tavily-search","B","runtime-injected","","false","cordis.patch.yml","dsh-kit","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"csiroqa/dsh-schedule","B","declared","","false","cordis.patch.yml","@dsh-external/dsh-schedule","{""node"":"">=22""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@link:../deepseek-harness/vendor/cordis, @deepseek-ai/cordis-plugin-loader@link:../deepseek-harness/vendor/loader, @deepseek-ai/cordis-plugin-timer@link:../deepseek-harness/vendor/timer, @deepseek-ai/dsh-agent@link:../deepseek-harness/packages/core/agent, @deepseek-ai/dsh-client-locale@link:../deepseek-harness/packages/client/locale, @deepseek-ai/dsh-client-runtime@link:../deepseek-harness/packages/client/runtime, @deepseek-ai/dsh-client-ui-settings@link:../deepseek-harness/packages/client/ui-settings, @deepseek-ai/dsh-client-ui-slots@link:../deepseek-harness/packages/client/ui-slots, @deepseek-ai/dsh-commands@link:../deepseek-harness/packages/interaction/commands, @deepseek-ai/dsh-home-paths@link:../deepseek-harness/packages/util/home-paths, @deepseek-ai/dsh-host-webserver@link:../deepseek-harness/packages/host/webserver, @deepseek-ai/dsh-llm@link:../deepseek-harness/packages/llm/llm, @deepseek-ai/dsh-session@link:../deepseek-harness/packages/core/session"
"Yuuz12/dsh-vision-helper","B","runtime-injected","","false","cordis.patch.yml","dsh-vision-helper","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"Bleed00/dsh-claude-mem","B","declared","","false","cordis.patch.yml","@bleed00/dsh-claude-mem","{""node"":"">=20.12.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@>=4.0.0, @deepseek-ai/dsh-agent@>=0.1.0-rc.6, @deepseek-ai/dsh-llm@>=0.0.1-rc.1, @deepseek-ai/dsh-skill@>=0.0.1-rc.1, @deepseek-ai/dsh-tools@>=0.0.1-rc.1, @deepseek-ai/schemastery@>=3.18.0"
"Han-1413141/dsh-sticky-disclosure","B","runtime-injected","","false","cordis.patch.yml","dsh-sticky-disclosure","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"omdsh-dev/dsh-revive","B","0.1.0-rc.3+(inferred)","0.1.0-rc.3","true","cordis.patch.yml","dsh-revive","{""node"":"">=22.19.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@>=4.0.1-rc.1 <5.0.0, @deepseek-ai/cordis-plugin-timer@>=1.1.3-rc.1 <2.0.0, @deepseek-ai/dsh-agent@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-agent-default-model@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-agent-presets@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-api-remotes@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-commands@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-host-apiproxy@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-llm@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-session@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-session-persistence@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-tools@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-client-connection@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-client-runtime@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-client-ui-slots@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-client-ui-conversation@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/schemastery@>=3.18.1-rc.1 <4.0.0"
